danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,class
0.487,0.961,4,-4.139,1,0.132,0.0415,0.00000115,0.553,0.323,170.005,spotify:track:01pOtDU5YHWbxuNBzlRUem,231680,4,good
0.638,0.819,10,-4.991,0,0.0643,0.0177,0,0.312,0.721,101.031,spotify:track:4vuJuTLFomqItDrn482nzV,187893,4,good
0.67,0.843,1,-4.311,1,0.0454,0.0392,0,0.225,0.713,117.01,spotify:track:6kcHg7XL6SKyPNd78daRBL,192040,4,good
0.629,0.785,2,-4.598,1,0.0274,0.253,0,0.0943,0.607,97.435,spotify:track:7qdgz117gc5StS0u2ViinE,207427,4,good
0.492,0.504,10,-6.322,1,0.0473,0.238,0,0.153,0.262,152.855,spotify:track:6i40XRqEwHAnSxwZWasMRp,203333,4,good
0.561,0.671,7,-5.582,1,0.0338,0.0154,0,0.171,0.278,124.06,spotify:track:2k4yzd3YejgP3kqOo0FOnS,226200,4,good
0.531,0.298,1,-7.414,0,0.0371,0.908,0,0.253,0.309,99.37,spotify:track:4sYPq9v5IglJYKA15xvzwY,202531,4,good
0.511,0.318,10,-9.869,1,0.0293,0.829,0.0142,0.102,0.183,128.083,spotify:track:7iCnvJb4R6hSuvE7G5khoF,224112,4,good
0.648,0.749,10,-4.951,1,0.0354,0.00587,0.00000327,0.0919,0.665,96.033,spotify:track:4s9XmT2POlVOKmxTLm2nwn,215026,4,good
0.589,0.853,10,-2.695,0,0.041,0.00875,0.0000398,0.375,0.527,83.038,spotify:track:2M5tsspfPMadF6LYGGJUp5,239187,4,good
0.543,0.882,7,-3.766,0,0.173,0.00887,0.00997,0.168,0.515,154.883,spotify:track:5UYBFPUFX2QuObt3ZneThM,171813,4,good
0.486,0.892,8,-5.557,1,0.0655,0.00282,0,0.292,0.771,157.003,spotify:track:6YzO1Ndf7fbyPo4njTTAur,169752,4,good
0.507,0.895,6,-5.348,1,0.0545,0.115,0,0.111,0.748,79.046,spotify:track:0ne8iNLplH15M6EtgzPkf0,166744,4,good
0.638,0.75,11,-5.45,0,0.0689,0.013,0.000122,0.0688,0.609,118.009,spotify:track:51RgDZpnVEWHbUMZf26IWB,224627,4,good
0.555,0.716,9,-5.802,1,0.0474,0.00164,0.0348,0.296,0.235,131.985,spotify:track:0tQmp2AjidZ1Fqr1orscTe,232587,4,good
0.457,0.877,0,-5.105,1,0.214,0.000101,0.297,0.109,0.709,168.958,spotify:track:4M1xxMtl43A2JBMYLeF9Gg,214253,4,good
0.515,0.817,2,-4.926,1,0.0678,0.00222,0.000523,0.0669,0.625,153.839,spotify:track:72dqefIxolwyCPj035ZpSf,209387,1,good
0.636,0.485,11,-7.138,0,0.0661,0.249,0.00000296,0.107,0.266,86.979,spotify:track:0IVHlst3XMgzXUJbIyZ8oO,224740,4,good
0.256,0.643,5,-8.525,1,0.0337,0.339,0.00343,0.707,0.253,130.48,spotify:track:1wEMvsq4HOuanwbdn4zEnc,277293,4,good
0.641,0.522,6,-4.755,1,0.0374,0.436,0,0.0701,0.553,136.195,spotify:track:5tAFq1pwlCMMRhMlAo8OoP,169453,4,good
0.531,0.544,0,-8.615,0,0.462,0.308,0.00000189,0.0835,0.398,131.921,spotify:track:3ZLyt2ndLFBh148XRYjYYZ,203794,4,good
0.45,0.414,11,-9.346,1,0.0357,0.0678,0.00403,0.0831,0.124,128.744,spotify:track:6M3AWBqgU1ecPURYNcg9pB,290813,4,good
0.415,0.63,2,-8.703,0,0.0393,0.00699,0.00108,0.153,0.264,128.007,spotify:track:4bzEnd93dLez0WJxsEoTca,256227,4,good
0.59,0.671,9,-6.098,1,0.0706,0.0484,0,0.0604,0.438,149.982,spotify:track:32bqxZEJRJObeNyc8bEiPt,169801,4,good
0.376,0.821,0,-3.974,1,0.104,0.0785,0,0.0823,0.331,120.462,spotify:track:5zUQZjVB6bfewBXWqsP9PY,199453,4,good
0.607,0.909,0,-4.407,0,0.0501,0.0032,0.00000117,0.106,0.687,114.08,spotify:track:4UErgRhgSCTfmSde2FEzsV,233920,4,good
0.307,0.371,3,-8.498,1,0.0288,0.923,0.0253,0.11,0.189,115.241,spotify:track:2kfGoV9a5dbSKCNmUWH2ZF,255893,3,good
0.636,0.554,7,-7.87,1,0.0939,0.0191,0,0.768,0.592,98.497,spotify:track:5b65Mzrv8hBRExQvWE0HjJ,257387,4,good
0.597,0.733,9,-7.768,1,0.101,0.0151,0.0000209,0.081,0.256,128.918,spotify:track:3FQ26GroLnhQEja48FKYqT,234662,4,good
0.61,0.165,8,-14.659,1,0.0502,0.981,0.000544,0.134,0.258,102.68,spotify:track:7sDzAu7alAL1hWvL86tSGB,191560,4,good
0.439,0.469,9,-9.283,1,0.0311,0.395,0.573,0.183,0.193,127.44,spotify:track:7DDRPKLKFIvDbNSQmnz19Y,475093,4,good
0.619,0.78,9,-7.469,1,0.0415,0.0972,0.41,0.122,0.828,114.995,spotify:track:3KXcoBUIpRSaCUMFFNMs8m,274480,4,good
0.709,0.643,10,-5.324,1,0.0385,0.0504,0.0000368,0.283,0.666,103.999,spotify:track:3teZIUI17QEm8Er5wzSHMx,206007,4,good
