danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,qual
0.549,0.311,2,-11.015,0,0.0434,0.741,0.0000141,0.306,0.178,87.866,spotify:track:0Hh08dFIrYeC1kBYXr6IkW,228255,4,1
0.715,0.838,2,-6.077,0,0.118,0.0897,0,0.15,0.497,120.007,spotify:track:4Oyl6oYSNeeZZP0OAxPVaU,240080,4,1
0.715,0.744,1,-5.047,1,0.0398,0.0169,0.00787,0.128,0.648,125.949,spotify:track:2wMCXQNJ3gkgFSY9jbQy9i,229822,4,1
0.675,0.78,11,-5.696,1,0.045,0.0143,0.0000155,0.0822,0.86,144.965,spotify:track:6iXHdoxYWDuuacnffO2fzb,187583,4,1
0.596,0.827,5,-4.402,1,0.0372,0.0242,0,0.0958,0.329,115.034,spotify:track:6liNJDyWJjyHAgDnAX95bw,249382,4,1
0.447,0.607,1,-7.717,0,0.0386,0.0199,0.00202,0.104,0.0663,119.934,spotify:track:2irUTCRpTHbAAVadDVWgm1,340280,4,1
0.485,0.562,0,-6.446,1,0.03,0.0544,0.0108,0.151,0.489,170.204,spotify:track:2TXz4iGa6nqrufbz0PaYJP,192840,4,1
0.397,0.215,6,-11.96,1,0.221,0.85,0,0.403,0.229,71.301,spotify:track:6DGfMKCkEMbLECSaATk8xv,185804,4,1
0.664,0.373,4,-8.132,0,0.0346,0.692,0.0000227,0.0941,0.189,86.143,spotify:track:2UonPYDoqpUZxoJUHWCgtP,210369,4,1
0.603,0.601,0,-7.511,1,0.126,0.00225,0.0358,0.123,0.239,103.985,spotify:track:0oH6dm5Mc0zzUfe8NERSvL,262853,4,1
0.549,0.949,2,-4.793,1,0.11,0.0918,0,0.0945,0.631,137.976,spotify:track:2UgmULNYP8iHNmKTn45vnt,172320,4,1
0.509,0.629,0,-6.434,1,0.0335,0.209,0.00000199,0.369,0.237,80.012,spotify:track:0sp00HSXkQyqTa6QqM0O8V,209307,4,1
0.732,0.396,4,-9.348,0,0.0286,0.0841,0.0000358,0.105,0.548,90.024,spotify:track:6i0V12jOa3mr6uu4WYhUBr,195920,4,1
0.254,0.857,11,-4.213,1,0.0604,0.0184,0,0.0767,0.293,92.328,spotify:track:2eQOMQkStoRUQyq6HGh1iG,173093,4,1
0.411,0.581,6,-6.237,0,0.0419,0.669,0.000108,0.1,0.111,169.978,spotify:track:5WZh4sv62fSXNgmhb1aU0C,149897,4,1
