danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,qual
0.534,0.784,0,-6.542,1,0.0476,0.125,0.00000892,0.0753,0.251,118.011,spotify:track:0WWUC8RjWvuBTkiiFDxyQf,246933,4,0
0.615,0.592,7,-7.676,1,0.065,0.00216,0,0.0809,0.196,86.994,spotify:track:4hPxXTBcUoEQjedrVPXelB,194147,4,0
0.345,0.775,9,-7.879,0,0.0621,0.00983,0.000421,0.242,0.269,150.02,spotify:track:0ZoNpycWGCmmXQ5JJxzSlH,247617,4,0
0.784,0.58,0,-6.656,1,0.167,0.176,0,0.0979,0.338,76.484,spotify:track:0qFX9pVJQB4lBMxRoFXqGr,236944,4,0
0.897,0.632,4,-6.097,0,0.296,0.0497,0.00000796,0.111,0.499,151.99,spotify:track:4VmcVEuTlYnWcc6QksaLyw,176842,4,0
0.901,0.529,8,-7.94,1,0.413,0.0679,0,0.536,0.343,144.941,spotify:track:3ZYwSDF9knZI0RVlKR4PHC,183809,4,0
0.922,0.581,10,-7.495,1,0.27,0.00104,0.0000586,0.105,0.595,140.022,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,181263,4,0
0.712,0.829,1,-4.707,0,0.141,0.0149,0,0.122,0.593,173.953,spotify:track:2yUbCEiaolfSMluDo9RMmG,332301,4,0
0.964,0.555,5,-6.245,0,0.0499,0.0301,0.000567,0.128,0.338,130.017,spotify:track:0TFVOjSvPTjFHkiZZekK5k,218261,4,0
0.733,0.678,6,-7.771,1,0.439,0.121,0,0.345,0.841,175.984,spotify:track:4lTiuD1DwBKo4L7wqMkD7C,144149,4,0
0.88,0.61,9,-5.257,1,0.402,0.196,0,0.105,0.383,135.993,spotify:track:2xCzUIQwX5Y3wEFJnHoc3J,170000,4,0
0.667,0.723,5,-4.31,0,0.27,0.0455,0.000179,0.213,0.251,148.057,spotify:track:6tarvNiKnEjYMj1VZhlDqR,153475,4,0
0.871,0.552,4,-4.953,0,0.0509,0.128,0,0.272,0.27,141.973,spotify:track:5NkfVQS8BkceRgoSQwcW6H,273087,4,0
0.851,0.666,11,-5.334,0,0.0694,0.139,0,0.105,0.0585,134.068,spotify:track:5Qx9hngUBr30JFrNua7yp4,129105,4,0
0.781,0.81,10,-4.301,0,0.356,0.738,0,0.144,0.908,173.949,spotify:track:365wwIjijQdlRJEjUWTidq,234667,4,0
0.799,0.325,2,-9.91,1,0.506,0.0326,0.0000353,0.114,0.233,157.966,spotify:track:1pWeQDyW5ieMmfjr8HP5TU,185200,4,0
0.512,0.121,9,-19.46,1,0.0338,0.991,0.74,0.0726,0.298,69.981,spotify:track:3FBk3DcCOC5gkhX50rbHbC,172457,4,0
0.356,0.0199,6,-26.752,0,0.0645,0.994,0.956,0.155,0.326,79.547,spotify:track:1hYEnW3hjGnnvTuEUlAD6h,174375,4,0
0.161,0.00613,0,-38.027,1,0.039,0.994,0.846,0.0895,0.0363,74.671,spotify:track:7gpL5CorPuYBthvZkPPFGd,138798,1,0
0.786,0.669,1,-8.273,0,0.0669,0.000728,0,0.0346,0.832,77.177,spotify:track:1mB5iZe1OrN9gYZtLOklI6,230880,4,0
0.68,0.878,8,-3.923,0,0.0554,0.0744,0,0.137,0.769,169.987,spotify:track:3YbtjYddK11NTDdUpC4nGp,225395,4,0
0.728,0.5,4,-6.214,0,0.0344,0.0749,0.00000584,0.108,0.382,138.528,spotify:track:260F1LrhRMiuXOZIaypMZd,283427,4,0
0.66,0.679,2,-6.749,1,0.111,0.0224,0,0.0945,0.595,164.11,spotify:track:26IEVYmeFletNA10cOkdBb,243174,4,0
0.747,0.657,7,-5.993,1,0.0525,0.217,0,0.0844,0.725,96.286,spotify:track:2nkuZha8Oe9puQ8ZX1P9ha,216477,4,0
0.677,0.74,2,-6.528,1,0.0243,0.242,0.0146,0.105,0.679,110.193,spotify:track:2N60TAtXaCbmi7zqdUoW61,237961,4,0
